method,Saltelli,num variables,3,num samples,500,
rotor_core_stiffness,bearing_stiffness,foundation_stiffness,P5,P6,P7,P8
143945312.5,438671875,1018554688,53.03472632,70.18507313,85.25442702,110.1728293
235351562.5,438671875,1018554688,53.0347445,70.19410626,85.28282518,110.1729869
143945312.5,512109375,1018554688,53.03484444,70.66598181,86.76324642,110.2212419
143945312.5,438671875,1407226563,53.50193764,75.28563152,87.2963443,114.8463103
235351562.5,512109375,1407226563,53.50204055,76.00633756,89.03381547,116.4893969
243945312.5,638671875,518554687.5,51.22905624,57.66448281,79.91113508,90.36207193
135351562.5,638671875,518554687.5,51.22903608,57.6607152,79.8904156,90.3619666
243945312.5,712109375,518554687.5,51.22918783,57.74986658,80.36221707,90.37261393
243945312.5,638671875,907226562.5,52.82029416,69.02969259,87.51476424,106.6600381
135351562.5,712109375,907226562.5,52.82033992,69.21394027,88.22088418,106.6796446
293945312.5,538671875,1268554688,53.37050755,74.59142911,88.92219919,115.9488662
285351562.5,538671875,1268554688,53.37050362,74.59030176,88.91902298,115.9451786
293945312.5,612109375,1268554688,53.3705715,75.01019287,90.10105107,117.2113326
293945312.5,538671875,657226562.5,52.03806061,62.34386725,82.55726593,96.94282613
285351562.5,612109375,657226562.5,52.03819114,62.51477991,83.34523535,96.96213872
193945312.5,738671875,768554687.5,52.45614471,65.94775711,86.48829929,101.6106866
185351562.5,738671875,768554687.5,52.45614278,65.94722366,86.48585656,101.6106749
193945312.5,412109375,768554687.5,52.45560987,64.89743826,82.21201795,101.4980743
193945312.5,738671875,1157226563,53.24044217,73.88797952,90.84392094,114.3485631
185351562.5,412109375,1157226563,53.24010199,72.06411618,85.46827701,111.9738342
168945312.5,588671875,643554687.5,51.97559366,62.02975817,82.7958288,96.35004449
160351562.5,588671875,643554687.5,51.97559287,62.02934682,82.79380061,96.3500396
168945312.5,462109375,643554687.5,51.97530517,61.67728489,81.18506238,96.31011083
168945312.5,588671875,1282226563,53.38483394,75.04938779,89.78067136,116.8978059
160351562.5,462109375,1282226563,53.38470088,74.15068422,87.36601781,114.3702362
268945312.5,788671875,1143554688,53.22262878,73.81786723,91.22604265,113.9840125
260351562.5,788671875,1143554688,53.22262514,73.81692127,91.22276969,113.9839776
268945312.5,662109375,1143554688,53.22255158,73.42809249,89.94843297,113.946273
268945312.5,788671875,782226562.5,52.49847817,66.39384259,87.09375777,102.1515039
260351562.5,662109375,782226562.5,52.49835645,66.16031433,86.08504175,102.1265349
218945312.5,488671875,893554687.5,52.78967114,68.15518023,85.21706322,106.1302945
110351562.5,488671875,893554687.5,52.78966843,68.14660029,85.18530152,106.1303017
218945312.5,762109375,893554687.5,52.78997765,69.0284981,88.50317836,106.2200935
218945312.5,488671875,532226562.5,51.32968661,57.93153322,78.95260467,91.02785713
110351562.5,762109375,532226562.5,51.33026273,58.33763884,81.04774104,91.07773238
118945312.5,688671875,1393554688,53.4904228,76.88976062,91.686389,119.1448187
210351562.5,688671875,1393554688,53.4904263,76.90214926,91.72210274,119.1866465
118945312.5,562109375,1393554688,53.49033712,76.21033148,89.868744,117.2634571
118945312.5,688671875,1032226563,53.05793881,71.6266879,89.29009334,110.7123405
210351562.5,562109375,1032226563,53.05782662,71.16513577,87.72239974,110.6656739
112695312.5,476171875,549804687.5,51.45125077,58.55437904,79.25393086,91.90495603
191601562.5,476171875,549804687.5,51.45124731,58.55735296,79.26948639,91.90496187
112695312.5,649609375,549804687.5,51.45167509,58.88681131,80.92808142,91.94483413
112695312.5,476171875,750976562.5,52.39891365,64.77263368,83.21269301,100.8405435
191601562.5,649609375,750976562.5,52.39919746,65.30537467,85.4415069,100.8975116
212695312.5,676171875,1049804688,53.08643818,71.91180849,89.34454544,111.2411881
291601562.5,676171875,1049804688,53.08646941,71.91967743,89.37247138,111.2414661
212695312.5,449609375,1049804688,53.08617785,70.79530849,85.75586814,111.1300314
212695312.5,676171875,1250976563,53.35167706,75.04815211,90.80358611,116.8102381
291601562.5,449609375,1250976563,53.35149117,73.67007598,86.96206708,113.8512994
262695312.5,576171875,799804687.5,52.55025026,66.37882245,85.41464338,102.7750419
141601562.5,576171875,799804687.5,52.55022137,66.37058396,85.3799984,102.7748498
262695312.5,549609375,799804687.5,52.55021041,66.29270127,85.06778263,102.7659146
262695312.5,576171875,1000976563,53.00449737,70.6702948,87.67898825,109.7059758
141601562.5,549609375,1000976563,53.00443773,70.54156077,87.24186245,109.6939979
162695312.5,776171875,1299804688,53.4028913,76.0510605,92.13038223,118.0661634
241601562.5,776171875,1299804688,53.40291156,76.06106958,92.1617675,118.0663496
162695312.5,749609375,1299804688,53.40287852,75.96562187,91.87338156,118.0580401
162695312.5,776171875,500976562.5,51.09022226,57.08706202,80.0535949,89.46452094
241601562.5,749609375,500976562.5,51.09020343,57.06702227,79.94616816,89.4617734
187695312.5,526171875,1174804688,53.26258673,73.23062377,88.12835521,114.7365366
216601562.5,526171875,1174804688,53.26259455,73.23400903,88.13847926,114.7367554
187695312.5,799609375,1174804688,53.26278823,74.32932049,91.52487546,114.8448388
187695312.5,526171875,875976562.5,52.74908612,67.95428801,85.65180268,105.5358439
216601562.5,799609375,875976562.5,52.74937145,68.7018301,88.55460562,105.6129409
287695312.5,726171875,674804687.5,52.11457279,63.2560248,84.64549259,97.75118611
116601562.5,726171875,674804687.5,52.1145394,63.24729959,84.60237593,97.75099788
287695312.5,599609375,674804687.5,52.11440313,63.02780658,83.58412558,97.72557694
287695312.5,726171875,1375976563,53.47502291,76.85744662,92.0938631,119.5633687
116601562.5,599609375,1375976563,53.47491328,76.24281652,90.39704317,117.7529985
237695312.5,426171875,1424804688,53.51667961,75.32687674,87.05313792,114.7164288
266601562.5,426171875,1424804688,53.51669117,75.33127287,87.06339744,114.7264657
237695312.5,499609375,1424804688,53.51676835,76.08522532,88.8447121,116.3764082
237695312.5,426171875,1125976563,53.19860807,71.76949407,85.68467881,112.1093944
266601562.5,499609375,1125976563,53.19873168,72.35131321,87.34783065,113.3756814
137695312.5,626171875,924804687.5,52.85792016,69.35262603,87.53457395,107.2517653
166601562.5,626171875,924804687.5,52.85791993,69.3549259,87.54357454,107.2517496
137695312.5,699609375,924804687.5,52.85798742,69.55876268,88.31089244,107.2727505
137695312.5,626171875,625976562.5,51.89076811,61.53386364,82.74524836,95.56531586
166601562.5,699609375,625976562.5,51.89087548,61.6529525,83.32268325,95.57888176
125195312.5,551171875,1487304688,53.56622179,77.11571383,90.05801756,117.7725058
104101562.5,551171875,1487304688,53.56623272,77.11279841,90.05052296,117.7646288
125195312.5,424609375,1487304688,53.5660881,75.8772454,87.18186065,115.1584188
125195312.5,551171875,563476562.5,51.54015312,59.22915924,80.48319871,92.59888943
104101562.5,424609375,563476562.5,51.53976644,58.88887501,78.82748816,92.55874485
225195312.5,751171875,987304687.5,52.98013138,70.95657246,89.48697085,109.3291643
204101562.5,751171875,987304687.5,52.98012477,70.95468155,89.47970847,109.3291126
225195312.5,624609375,987304687.5,52.98003079,70.59587362,88.18211524,109.2930496
225195312.5,751171875,1063476563,53.10795832,72.36936849,90.21501593,111.671239
204101562.5,624609375,1063476563,53.10785893,71.9692827,88.84816443,111.632024
275195312.5,451171875,1237304688,53.336381,73.51123092,86.92709509,113.7667976
154101562.5,451171875,1237304688,53.33634648,73.49581571,86.88565893,113.7206181
275195312.5,724609375,1237304688,53.33662727,75.04270451,91.2821294,116.4768878
275195312.5,451171875,1313476563,53.41626831,74.42859482,87.28376967,114.413803
154101562.5,724609375,1313476563,53.41646605,76.05578438,91.68982113,118.3838646
175195312.5,651171875,737304687.5,52.35289277,64.93533965,85.21823624,100.3490253
254101562.5,651171875,737304687.5,52.35291667,64.94008046,85.23985144,100.3491747
175195312.5,524609375,737304687.5,52.35269867,64.59844514,83.77198601,100.3124188
175195312.5,651171875,813476562.5,52.58904941,66.91410781,86.4222357,103.3113943
254101562.5,524609375,813476562.5,52.58890083,66.53180831,84.89025784,103.2706474
150195312.5,401171875,862304687.5,52.71595817,66.95192985,82.99686183,104.9793129
