# Design Points of Design of Experiments
# Custom
# ,P1 - Young's Modulus Y direction (Pa) ,P3 - foundation stiffnez,P10 - bearings,P4 - Total Deformation Reported Frequency (Hz) ,P5 - Total Deformation 2 Reported Frequency (Hz) ,P6 - Total Deformation 3 Reported Frequency (Hz) ,P7 - Total Deformation 4 Reported Frequency (Hz) ,P8 - Total Deformation 5 Reported Frequency (Hz) ,P9 - Total Deformation 6 Reported Frequency (Hz) 
Name,P1,P3,P10,P4,P5,P6,P7,P8,P9
1,143945312.5,1018554687.5,438671875,0,53.034726315678974,70.185073128319019,85.254427018487974,110.17282930819201,111.44524129307526
2,235351562.5,1018554687.5,438671875,0,53.034744504849144,70.19410625858356,85.282825184633239,110.17298693431268,111.48173127219701
3,143945312.5,1018554687.5,512109375,0,53.034844442083788,70.66598181088456,86.763246418123771,110.2212418507935,113.283004317601
4,143945312.5,1407226562.5,438671875,0,53.501937637767959,75.2856315200497,87.296344299492588,114.84631026987994,120.40319311820906
5,235351562.5,1407226562.5,512109375,0,53.502040545638351,76.006337559707632,89.033815468837361,116.48939693252167,120.47276255552507
6,243945312.5,518554687.5,638671875,0,51.229056243530579,57.664482814326441,79.9111350756269,90.362071932594532,111.5723131061124
7,135351562.5,518554687.5,638671875,0,51.229036083582855,57.660715200022977,79.890415599185616,90.361966598620967,111.51294423901118
8,243945312.5,518554687.5,712109375,0,51.229187825490961,57.74986658402554,80.36221707041463,90.372613931030585,112.78002340513638
9,243945312.5,907226562.5,638671875,0,52.820294164196469,69.029692591949129,87.514764235018092,106.66003805431205,114.84878038349751
10,135351562.5,907226562.5,712109375,0,52.820339924747891,69.213940270076691,88.2208841800069,106.67964457783755,115.90162802431149
11,293945312.5,1268554687.5,538671875,0,53.370507547806007,74.591429106737962,88.922199185001034,115.94886617898912,117.18880858878566
12,285351562.5,1268554687.5,538671875,0,53.37050361697905,74.590301758977986,88.9190229757139,115.94517861858223,117.18876279662719
13,293945312.5,1268554687.5,612109375,0,53.3705715028408,75.010192870929927,90.10105107476349,117.2113325837981,117.25237869168814
14,293945312.5,657226562.5,538671875,0,52.038060608371161,62.343867246927836,82.557265928604352,96.942826128256726,110.80581592898589
15,285351562.5,657226562.5,612109375,0,52.038191138481615,62.51477991242902,83.34523534616379,96.962138720125537,112.33238230099283
16,193945312.5,768554687.5,738671875,0,52.456144710867136,65.947757108296173,86.488299294758761,101.61068663124682,115.21517643997433
17,185351562.5,768554687.5,738671875,0,52.456142776833111,65.947223662578949,86.485856562855489,101.61067486331306,115.21039311748798
18,193945312.5,768554687.5,412109375,0,52.455609869881584,64.897438261732944,82.212017948406569,101.49807428295317,108.28219515233148
19,193945312.5,1157226562.5,738671875,0,53.240442165534262,73.887979518667407,90.843920939506134,114.34856309372057,118.13724297875716
20,185351562.5,1157226562.5,412109375,0,53.240101991869089,72.0641161833239,85.468277012946231,111.9738341914592,114.17013135616706
21,168945312.5,643554687.5,588671875,0,51.975593661911638,62.029758166680637,82.795828797907589,96.3500444925589,111.69664639809488
22,160351562.5,643554687.5,588671875,0,51.975592866524856,62.029346824309016,82.793800614301432,96.350039602923246,111.69222724032153
23,168945312.5,643554687.5,462109375,0,51.975305172520166,61.677284888810213,81.185062378558726,96.310110834077946,108.62872133703078
