method,halton,num variables,8,num samples,1000,seed,
lead1,insulator,strip,upper surface,contact1,contact2,shim,lead2
0.6,0.2857142857142857,0.3333333333333333,0.6470588235294118,0.5,0.7368421052631579,0.18181818181818182,0.38461538461538464
0.2,0.8571428571428571,0.6666666666666666,0.47058823529411764,0.25,0.05263157894736842,0.09090909090909091,0.6153846153846154
0.8,0.42857142857142855,0.1111111111111111,0.35294117647058826,0.75,0.631578947368421,0.6363636363636364,0.15384615384615385
0.4,0.7142857142857143,0.4444444444444444,0.8823529411764706,0.125,0.42105263157894735,0.9090909090909091,0.46153846153846156
0.12,0.14285714285714285,0.7777777777777778,0.7058823529411765,0.625,0.21052631578947367,0.2727272727272727,0.07692307692307693
0.72,0.5714285714285714,0.2222222222222222,0.4117647058823529,0.375,0.3684210526315789,0.8181818181818182,0.5384615384615384
0.32,0.04081632653061224,0.5555555555555556,0.5294117647058824,0.875,0.5263157894736842,0.36363636363636365,0.9230769230769231
0.92,0.32653061224489793,0.8888888888888888,0.9411764705882353,0.0625,0.8421052631578947,0.5454545454545454,0.23076923076923078
0.52,0.8979591836734694,0.037037037037037035,0.23529411764705882,0.5625,0.15789473684210525,0.45454545454545453,0.7692307692307693
0.04,0.46938775510204084,0.37037037037037035,0.29411764705882354,0.3125,0.9473684210526315,0.7272727272727273,0.3076923076923077
0.64,0.7551020408163265,0.7037037037037037,0.17647058823529413,0.8125,0.6842105263157895,0.01652892561983471,0.6923076923076923
0.24,0.1836734693877551,0.14814814814814814,0.058823529411764705,0.1875,0.47368421052631576,0.19834710743801653,0.8461538461538461
0.84,0.6122448979591837,0.48148148148148145,0.11764705882352941,0.6875,0.8947368421052632,0.10743801652892562,0.029585798816568046
0.44,0.12244897959183673,0.8148148148148148,0.5882352941176471,0.4375,0.7894736842105263,0.6528925619834711,0.41420118343195267
0.16,0.40816326530612246,0.25925925925925924,0.7647058823529411,0.9375,0.2631578947368421,0.9256198347107438,0.6449704142011834
0.76,0.9795918367346939,0.5925925925925926,0.8235294117647058,0.03125,0.3157894736842105,0.2892561983471074,0.1834319526627219
0.36,0.5510204081632653,0.9259259259259259,0.03806228373702422,0.53125,0.10526315789473684,0.8347107438016529,0.4911242603550296
0.96,0.8367346938775511,0.07407407407407407,0.6851211072664359,0.28125,0.5789473684210527,0.38016528925619836,0.10650887573964497
0.56,0.2653061224489796,0.4074074074074074,0.5086505190311419,0.78125,0.038781163434903045,0.5619834710743802,0.5680473372781065
0.08,0.6938775510204082,0.7407407407407407,0.39100346020761245,0.15625,0.775623268698061,0.47107438016528924,0.9526627218934911
0.68,0.061224489795918366,0.18518518518518517,0.9204152249134948,0.65625,0.09141274238227147,0.743801652892562,0.2603550295857988
0.28,0.3469387755102041,0.5185185185185185,0.7439446366782007,0.40625,0.6703601108033241,0.008264462809917356,0.7988165680473372
0.88,0.9183673469387755,0.8518518518518519,0.44982698961937717,0.90625,0.4598337950138504,0.19008264462809918,0.33727810650887574
0.48,0.4897959183673469,0.2962962962962963,0.5674740484429066,0.09375,0.24930747922437674,0.09917355371900827,0.7218934911242604
0.024,0.7755102040816326,0.6296296296296297,0.9792387543252595,0.59375,0.407202216066482,0.6446280991735537,0.8757396449704142
0.624,0.20408163265306123,0.9629629629629629,0.27335640138408307,0.34375,0.5650969529085873,0.9173553719008265,0.047337278106508875
0.224,0.6326530612244898,0.012345679012345678,0.33217993079584773,0.84375,0.8808864265927978,0.2809917355371901,0.4319526627218935
0.824,0.10204081632653061,0.345679012345679,0.21453287197231835,0.21875,0.19667590027700832,0.8264462809917356,0.6627218934911243
0.424,0.3877551020408163,0.6790123456790124,0.09688581314878893,0.71875,0.9861495844875346,0.371900826446281,0.20118343195266272
0.144,0.9591836734693877,0.12345679012345678,0.15570934256055363,0.46875,0.7229916897506925,0.5537190082644629,0.5088757396449705
0.744,0.5306122448979592,0.4567901234567901,0.6262975778546713,0.96875,0.5124653739612188,0.4628099173553719,0.1242603550295858
0.344,0.8163265306122449,0.7901234567901234,0.8027681660899654,0.015625,0.9335180055401662,0.7355371900826446,0.5857988165680473
0.944,0.24489795918367346,0.2345679012345679,0.8615916955017301,0.515625,0.8282548476454293,0.05785123966942149,0.9704142011834319
0.544,0.673469387755102,0.5679012345679012,0.02768166089965398,0.265625,0.30193905817174516,0.2396694214876033,0.2781065088757396
0.064,0.02040816326530612,0.9012345679012346,0.6747404844290658,0.765625,0.3545706371191136,0.1487603305785124,0.8165680473372781
0.664,0.30612244897959184,0.04938271604938271,0.4982698961937716,0.140625,0.1440443213296399,0.6942148760330579,0.35502958579881655
0.264,0.8775510204081632,0.38271604938271603,0.3806228373702422,0.640625,0.6177285318559557,0.9669421487603306,0.7396449704142012
0.864,0.4489795918367347,0.7160493827160493,0.9100346020761245,0.390625,0.002770083102493075,0.3305785123966942,0.893491124260355
0.464,0.7346938775510204,0.16049382716049382,0.7335640138408305,0.890625,0.739612188365651,0.8760330578512396,0.011834319526627219
0.184,0.16326530612244897,0.49382716049382713,0.43944636678200694,0.078125,0.055401662049861494,0.4214876033057851,0.39644970414201186
0.784,0.5918367346938775,0.8271604938271605,0.5570934256055363,0.578125,0.6343490304709142,0.6033057851239669,0.6272189349112426
0.384,0.08163265306122448,0.2716049382716049,0.9688581314878892,0.328125,0.42382271468144045,0.512396694214876,0.16568047337278108
0.984,0.3673469387755102,0.6049382716049383,0.2629757785467128,0.828125,0.21329639889196675,0.7851239669421488,0.47337278106508873
0.584,0.9387755102040817,0.9382716049382716,0.3217993079584775,0.203125,0.37119113573407203,0.08264462809917356,0.08875739644970414
